iter	Passed	Remaining
0	2	2071
1	4	1911
2	6	1853
3	9	1818
4	11	1789
5	13	1779
6	15	1761
7	17	1757
8	19	1744
9	22	1748
10	24	1748
11	26	1741
12	28	1733
13	30	1723
14	32	1719
15	34	1711
16	37	1709
17	39	1721
18	41	1716
19	43	1712
20	46	1707
21	48	1702
22	50	1698
23	52	1693
24	54	1703
25	57	1705
26	59	1701
27	61	1697
28	63	1691
29	65	1684
30	67	1676
31	69	1672
32	71	1668
33	73	1661
34	75	1656
35	77	1650
36	79	1643
37	81	1636
38	83	1632
39	85	1627
40	87	1621
41	89	1616
42	91	1611
43	93	1606
44	95	1600
45	97	1596
46	99	1592
47	101	1588
48	103	1585
49	105	1581
50	107	1576
51	109	1572
52	111	1569
53	113	1565
54	115	1564
55	117	1561
56	119	1557
57	121	1554
58	123	1550
59	125	1546
60	127	1543
61	129	1539
62	131	1538
63	133	1535
64	135	1533
65	137	1529
66	139	1526
67	141	1524
68	143	1520
69	145	1518
70	147	1515
71	149	1511
72	151	1508
73	153	1506
74	155	1502
75	157	1499
76	159	1496
77	161	1493
78	163	1490
79	165	1488
80	167	1485
81	169	1483
82	171	1479
83	173	1477
84	175	1474
85	177	1472
86	179	1469
87	181	1466
88	183	1465
89	185	1462
90	187	1460
91	189	1457
92	191	1454
93	193	1452
94	195	1449
95	197	1446
96	199	1445
97	201	1443
98	203	1440
99	205	1437
100	207	1435
101	209	1432
102	211	1429
103	213	1426
104	215	1424
105	217	1421
106	219	1418
107	221	1416
108	223	1415
109	225	1412
110	227	1410
111	229	1408
112	231	1406
113	233	1403
114	235	1401
115	237	1399
116	239	1397
117	241	1395
118	243	1392
119	245	1390
120	247	1388
121	249	1385
122	251	1382
123	253	1380
124	255	1378
125	257	1375
126	259	1373
127	261	1371
128	263	1368
129	265	1366
130	267	1364
131	269	1364
132	271	1363
133	274	1362
134	276	1361
135	278	1359
136	280	1357
137	282	1355
138	284	1353
139	286	1351
140	288	1349
141	290	1347
142	292	1344
143	294	1342
144	296	1341
145	298	1339
146	301	1337
147	303	1335
148	305	1332
149	307	1330
150	309	1328
151	311	1326
152	313	1324
153	315	1322
154	317	1320
155	319	1317
156	321	1315
157	323	1312
158	325	1310
159	327	1308
160	329	1305
161	331	1304
162	333	1302
163	335	1300
164	337	1297
165	339	1295
166	341	1292
167	343	1290
168	343	1283
169	345	1281
170	347	1277
171	349	1275
172	351	1272
173	353	1270
174	353	1264
175	355	1261
176	357	1259
177	359	1257
178	361	1255
179	363	1253
180	365	1251
181	367	1248
182	369	1246
183	371	1244
184	373	1241
185	375	1239
186	377	1237
187	379	1235
188	381	1233
189	383	1231
190	385	1228
191	387	1226
192	389	1224
193	391	1222
194	393	1220
195	395	1218
196	397	1216
197	399	1214
198	401	1211
199	403	1209
200	405	1207
201	407	1205
202	409	1203
203	411	1202
204	413	1199
205	415	1197
206	417	1195
207	419	1193
208	421	1191
209	423	1189
210	425	1187
211	427	1185
212	429	1183
213	431	1181
214	433	1178
215	435	1176
216	437	1175
217	439	1173
218	441	1171
219	443	1169
220	445	1167
221	447	1164
222	449	1162
223	451	1160
224	453	1158
225	455	1157
226	457	1155
227	459	1152
228	461	1150
229	463	1148
230	465	1146
231	467	1144
232	469	1142
233	471	1140
234	473	1138
235	475	1136
236	477	1134
237	479	1132
238	481	1130
239	483	1128
240	485	1126
241	487	1124
242	489	1122
243	491	1120
244	493	1118
245	495	1115
246	497	1113
247	499	1111
248	501	1109
249	503	1107
250	505	1105
251	507	1103
252	509	1101
253	511	1099
254	513	1097
255	515	1095
256	517	1093
257	519	1091
258	521	1089
259	523	1087
260	525	1085
261	527	1083
262	529	1081
263	531	1079
264	533	1077
265	535	1075
266	537	1073
267	539	1071
268	541	1069
269	543	1067
270	545	1065
271	547	1063
272	549	1061
273	551	1059
274	553	1057
275	555	1055
276	557	1053
277	559	1051
278	561	1049
279	563	1047
280	565	1045
281	567	1042
282	569	1040
283	571	1038
284	573	1036
285	575	1034
286	577	1032
287	579	1030
288	581	1028
289	583	1026
290	585	1024
291	587	1022
292	589	1020
293	591	1018
294	593	1016
295	595	1014
296	597	1011
297	599	1009
298	601	1007
299	603	1005
300	605	1003
301	607	1002
302	609	1000
303	611	998
304	613	996
305	615	993
306	617	991
307	619	989
308	621	987
309	623	985
310	625	983
311	627	981
312	629	979
313	631	977
314	633	975
315	635	973
316	637	971
317	639	969
318	641	967
319	643	965
320	645	963
321	647	961
322	649	959
323	651	957
324	653	955
325	655	953
326	657	951
327	659	949
328	661	947
329	663	945
330	665	943
331	667	941
332	669	939
333	671	937
334	673	935
335	675	933
336	677	930
337	679	929
338	681	927
339	683	925
340	685	923
341	687	921
342	689	919
343	691	917
344	693	914
345	695	912
346	697	910
347	699	908
348	701	906
349	703	904
350	705	902
351	707	900
352	709	898
353	711	896
354	713	894
355	715	892
356	717	890
357	719	888
358	721	886
359	723	884
360	725	882
361	727	880
362	729	878
363	731	876
364	733	874
365	735	872
366	737	870
367	739	867
368	741	865
369	743	864
370	745	862
371	747	859
372	749	857
373	751	855
374	753	853
375	755	851
376	757	849
377	759	847
378	761	845
379	763	843
380	765	841
381	767	839
382	769	837
383	771	835
384	773	833
385	775	831
386	777	829
387	779	827
388	781	825
389	783	823
390	785	821
391	787	819
392	789	817
393	791	815
394	793	813
395	795	811
396	797	809
397	799	807
398	801	805
399	803	803
400	805	801
401	807	799
402	809	797
403	811	794
404	813	792
405	815	790
406	816	788
407	818	786
408	820	784
409	822	782
410	824	780
411	826	778
412	828	776
413	830	774
414	832	772
415	834	770
416	836	768
417	838	766
418	840	764
419	842	762
420	844	760
421	846	758
422	848	756
423	850	754
424	852	752
425	854	750
426	856	748
427	858	746
428	860	744
429	862	742
430	864	740
431	867	738
432	869	736
433	871	734
434	873	732
435	874	730
436	876	728
437	878	726
438	880	724
439	882	722
440	884	720
441	886	718
442	888	716
443	890	714
444	892	712
445	894	710
446	896	708
447	898	706
448	900	704
449	902	702
450	904	700
451	906	698
452	908	695
453	910	693
454	913	692
455	915	690
456	917	688
457	919	686
458	921	684
459	923	682
460	925	680
461	927	678
462	929	676
463	931	674
464	933	672
465	935	670
466	937	668
467	939	666
468	941	664
469	944	662
470	946	660
471	948	658
472	950	656
473	952	654
474	954	652
475	956	650
476	958	649
477	960	647
478	962	645
479	964	642
480	966	640
481	968	638
482	970	636
483	972	634
484	974	632
485	976	630
486	978	628
487	980	626
488	982	624
489	984	622
490	986	621
491	988	619
492	990	617
493	992	614
494	994	612
495	996	610
496	998	608
497	1000	606
498	1002	604
499	1005	603
500	1007	600
501	1008	598
502	1010	596
503	1012	594
504	1014	592
505	1016	590
506	1019	589
507	1021	587
508	1023	585
509	1025	583
510	1027	581
511	1029	578
512	1031	576
513	1033	574
514	1035	572
515	1037	570
516	1039	568
517	1041	566
518	1043	564
519	1045	562
520	1047	560
521	1049	558
522	1051	556
523	1053	554
524	1055	552
525	1057	550
526	1059	548
527	1061	546
528	1062	544
529	1064	542
530	1067	540
531	1068	538
532	1070	536
533	1072	534
534	1074	532
535	1076	530
536	1078	528
537	1080	526
538	1082	524
539	1084	522
540	1086	520
541	1089	518
542	1091	516
543	1093	514
544	1095	512
545	1097	510
546	1099	508
547	1101	506
548	1102	504
549	1104	502
550	1106	500
551	1108	498
552	1110	496
553	1113	494
554	1115	492
555	1116	490
556	1118	488
557	1120	486
558	1122	484
559	1124	482
560	1126	480
561	1128	478
562	1130	476
563	1132	473
564	1134	471
565	1136	469
566	1138	467
567	1140	465
568	1142	463
569	1144	461
570	1146	459
571	1148	457
572	1150	455
573	1152	453
574	1154	451
575	1156	449
576	1158	447
577	1160	445
578	1162	443
579	1164	441
580	1166	439
581	1168	437
582	1170	435
583	1172	433
584	1174	431
585	1176	429
586	1178	427
587	1180	425
588	1182	423
589	1184	421
590	1186	419
591	1188	417
592	1190	415
593	1192	413
594	1194	411
595	1196	409
596	1198	407
597	1200	405
598	1202	403
599	1204	401
600	1206	399
601	1208	397
602	1210	395
603	1212	393
604	1214	391
605	1216	389
606	1218	387
607	1220	385
608	1222	383
609	1224	381
610	1226	379
611	1228	377
612	1230	375
613	1232	373
614	1234	371
615	1236	369
616	1238	367
617	1240	365
618	1242	363
619	1244	361
620	1246	359
621	1248	357
622	1250	355
623	1252	353
624	1254	351
625	1256	349
626	1258	347
627	1260	345
628	1262	343
629	1264	341
630	1266	339
631	1268	337
632	1270	335
633	1272	333
634	1274	331
635	1276	329
636	1278	327
637	1280	325
638	1282	323
639	1284	321
640	1286	319
641	1288	317
642	1290	314
643	1292	312
644	1294	311
645	1296	309
646	1298	307
647	1300	305
648	1302	303
649	1304	300
650	1306	298
651	1308	296
652	1310	294
653	1312	293
654	1314	290
655	1316	288
656	1318	286
657	1320	284
658	1322	282
659	1324	280
660	1326	278
661	1328	276
662	1330	274
663	1332	272
664	1334	270
665	1336	268
666	1338	266
667	1340	264
668	1342	262
669	1344	260
670	1346	258
671	1348	256
672	1350	254
673	1352	252
674	1354	250
675	1356	248
676	1358	246
677	1360	244
678	1362	242
679	1364	240
680	1366	238
681	1368	236
682	1370	234
683	1372	232
684	1374	230
685	1376	228
686	1378	226
687	1380	224
688	1382	222
689	1384	220
690	1386	218
691	1388	216
692	1390	214
693	1392	212
694	1393	210
695	1395	208
696	1397	206
697	1399	204
698	1402	202
699	1404	200
700	1406	198
701	1407	196
702	1409	194
703	1411	192
704	1413	190
705	1415	188
706	1417	186
707	1419	184
708	1421	182
709	1423	180
710	1425	178
711	1427	176
712	1429	174
713	1431	172
714	1433	170
715	1435	168
716	1437	166
717	1439	164
718	1441	162
719	1443	160
720	1445	158
721	1447	156
722	1449	154
723	1451	152
724	1453	150
725	1455	148
726	1457	146
727	1459	144
728	1461	142
729	1463	140
730	1465	138
731	1467	136
732	1469	134
733	1471	132
734	1473	130
735	1475	128
736	1477	126
737	1479	124
738	1481	122
739	1483	120
740	1485	118
741	1487	116
742	1489	114
743	1491	112
744	1493	110
745	1496	108
746	1497	106
747	1499	104
748	1501	102
749	1503	100
750	1506	98
751	1508	96
752	1510	94
753	1512	92
754	1514	90
755	1516	88
756	1518	86
757	1520	84
758	1522	82
759	1524	80
760	1526	78
761	1528	76
762	1530	74
763	1532	72
764	1534	70
765	1536	68
766	1538	66
767	1540	64
768	1542	62
769	1544	60
770	1546	58
771	1548	56
772	1550	54
773	1552	52
774	1554	50
775	1556	48
776	1558	46
777	1560	44
778	1561	42
779	1563	40
780	1565	38
781	1567	36
782	1569	34
783	1571	32
784	1573	30
785	1575	28
786	1577	26
787	1579	24
788	1581	22
789	1583	20
790	1585	18
791	1587	16
792	1589	14
793	1592	12
794	1593	10
795	1595	8
796	1597	6
797	1599	4
798	1601	2
799	1603	0
