iter	Logloss
0	0.6427604103
1	0.600490177
2	0.5652503389
3	0.5356560563
4	0.5078107885
5	0.4856323667
6	0.4670440694
7	0.4501317383
8	0.4353332751
9	0.4220723605
10	0.4109898213
11	0.4014001884
12	0.3933612696
13	0.3855548473
14	0.3794741455
15	0.3729124876
16	0.3676434034
17	0.3627814105
18	0.3590851742
19	0.3554474784
20	0.3523670761
21	0.3494259847
22	0.3465574278
23	0.3443990905
24	0.3423164698
25	0.3404560901
26	0.3387734976
27	0.337064853
28	0.3357560386
29	0.3346198219
30	0.3334510337
31	0.3321855158
32	0.3309363985
33	0.3300152557
34	0.3292375046
35	0.3285241274
36	0.3276751249
37	0.3268762156
38	0.3263645292
39	0.3258147947
40	0.325197453
41	0.3245384554
42	0.3240097162
43	0.3235041286
44	0.3231288647
45	0.3225776881
46	0.3222622318
47	0.3219574527
48	0.3216083665
49	0.3212409449
50	0.3208990397
51	0.3206045695
52	0.3203034686
53	0.3200646451
54	0.3197274571
55	0.3195001721
56	0.3192598224
57	0.3190688073
58	0.3189157317
59	0.318671743
60	0.3184442844
61	0.3182374265
62	0.3180974641
63	0.3179466067
64	0.3177713693
65	0.3176092676
66	0.3174623324
67	0.3173405324
68	0.3171808676
69	0.3170434729
70	0.3168588642
71	0.3166779443
72	0.3165665516
73	0.3164385463
74	0.3163325573
75	0.3162081468
76	0.3161018288
77	0.3160059111
78	0.3159205193
79	0.3158316568
80	0.315711509
81	0.3156009581
82	0.3155067473
83	0.3154344832
84	0.3153415428
85	0.3152503815
86	0.3151764772
87	0.3150787096
88	0.315005068
89	0.314946522
90	0.314888344
91	0.3148137229
92	0.314738258
93	0.3146907744
94	0.3146131311
95	0.3145555644
96	0.3145155938
97	0.3144742466
98	0.3144272642
99	0.3143795239
100	0.3143204727
101	0.3142556928
102	0.3141905757
103	0.3141351341
104	0.3140881525
105	0.3140492959
106	0.3140116085
107	0.3139654046
108	0.3139177877
109	0.3138610382
110	0.3138227782
111	0.3137767139
112	0.3137275547
113	0.3136833915
114	0.3136555704
115	0.3136282237
116	0.3135799841
117	0.3135579133
118	0.3135175603
119	0.3134678967
120	0.3134172219
121	0.3133671707
122	0.3133340406
123	0.3132900889
124	0.3132506102
125	0.3132082683
126	0.313171373
127	0.3131410465
128	0.3131038879
129	0.3130595319
130	0.313005097
131	0.3129735986
132	0.3129425221
133	0.3129092849
134	0.3128726764
135	0.312852034
136	0.3128259773
137	0.3127942325
138	0.3127711605
139	0.3127407975
140	0.3127045308
141	0.3126815823
142	0.312664087
143	0.3126214887
144	0.3125848032
145	0.3125692645
146	0.3125246827
147	0.3125054802
148	0.312489425
149	0.3124612025
150	0.312435698
151	0.3124263146
152	0.3123672757
153	0.3123389308
154	0.3123235244
155	0.3123039707
156	0.3122850083
157	0.3122542408
158	0.3122168934
159	0.3121937623
160	0.3121680281
161	0.3121435484
162	0.3121290512
163	0.3121154434
164	0.3120917678
165	0.3120750561
166	0.3120447671
167	0.3120168004
168	0.3120024836
169	0.3119826137
170	0.3119531416
171	0.3119209394
172	0.3119065856
173	0.3118900142
174	0.3118690927
175	0.3118507885
176	0.3118377622
177	0.3118158699
178	0.3117762183
179	0.3117578969
180	0.3117404233
181	0.311706301
182	0.3116893341
183	0.3116679031
184	0.3116322576
185	0.3116117651
186	0.3115960385
187	0.3115801219
188	0.3115474935
189	0.3115262223
190	0.3115106674
191	0.3114954827
192	0.3114864515
193	0.3114736074
194	0.3114432849
195	0.311424993
196	0.3113939794
197	0.3113755428
198	0.3113511115
199	0.3113381253
200	0.3113150013
201	0.3112912821
202	0.3112688131
203	0.3112527086
204	0.3112325598
205	0.3112077796
206	0.3111814101
207	0.3111449747
208	0.3111230882
209	0.3111060982
210	0.3110894967
211	0.3110641969
212	0.3110538615
213	0.3110437397
214	0.311032766
215	0.3110031723
216	0.310983365
217	0.3109724821
218	0.3109475251
219	0.3109252234
220	0.3109118745
221	0.3108936507
222	0.3108756991
223	0.3108489847
224	0.3108355755
225	0.3108151476
226	0.3108053294
227	0.3107783957
228	0.3107502835
229	0.3107362354
230	0.3107210837
231	0.3107103914
232	0.310698055
233	0.3106798231
234	0.3106700077
235	0.3106547066
236	0.3106454465
237	0.3106271569
238	0.31060526
239	0.3105878174
240	0.3105703234
241	0.3105624312
242	0.3105548291
243	0.3105432887
244	0.3105303769
245	0.3105082799
246	0.3104968403
247	0.3104807764
248	0.3104693511
249	0.3104573946
250	0.3104477902
251	0.3104307627
252	0.3104140326
253	0.310395822
254	0.3103848727
255	0.3103766464
256	0.3103628309
257	0.3103507675
258	0.3103266864
259	0.3103038904
260	0.3102816476
261	0.3102606226
262	0.3102408846
263	0.3102285082
264	0.3102160364
265	0.3102019424
266	0.3101771444
267	0.3101603863
268	0.3101468873
269	0.310131545
270	0.3101179751
271	0.3101037782
272	0.3100857071
273	0.3100669536
274	0.3100458045
275	0.3100328407
276	0.3100138869
277	0.3100063664
278	0.3099956924
279	0.309984375
280	0.3099715228
281	0.3099576866
282	0.3099482385
283	0.3099241265
284	0.3099110599
285	0.3098920345
286	0.3098641623
287	0.3098479599
288	0.3098374639
289	0.3098236173
290	0.3098000081
291	0.3097813329
292	0.309769189
293	0.309753498
294	0.3097387535
295	0.3097287767
296	0.3097043934
297	0.3096907325
298	0.3096712317
299	0.3096541206
300	0.309638683
301	0.3096306272
302	0.3096176943
303	0.3096026526
304	0.309590032
305	0.3095760564
306	0.3095636631
307	0.3095436499
308	0.309524288
309	0.3095102793
310	0.3094971868
311	0.3094772186
312	0.3094645867
313	0.3094532937
314	0.3094374224
315	0.3094245965
316	0.3094130958
317	0.3093926237
318	0.3093700619
319	0.309359528
320	0.3093418835
321	0.3093292901
322	0.3093172046
323	0.3093070391
324	0.3092907051
325	0.3092749947
326	0.3092642897
327	0.3092440062
328	0.3092318572
329	0.3092141533
330	0.3092041075
331	0.3091886187
332	0.3091745912
333	0.3091584117
334	0.3091488749
335	0.309138531
336	0.3091214859
337	0.3091045186
338	0.3090880139
339	0.3090781096
340	0.3090668797
341	0.3090525445
342	0.3090281656
343	0.309014621
344	0.3089972836
345	0.3089884711
346	0.3089765479
347	0.3089578905
348	0.3089470604
349	0.3089335951
350	0.3089178043
351	0.3089067111
352	0.3088916132
353	0.3088770108
354	0.3088678885
355	0.308857179
356	0.3088425496
357	0.3088283075
358	0.3088170582
359	0.3088072795
360	0.3087913736
361	0.3087828735
362	0.3087715645
363	0.3087507366
364	0.3087375106
365	0.308720953
366	0.3087064716
367	0.3086978251
368	0.3086862959
369	0.3086728728
370	0.3086626405
371	0.3086468848
372	0.3086351239
373	0.3086243899
374	0.3086124698
375	0.3085978073
376	0.3085858953
377	0.3085766463
378	0.3085634928
379	0.308544126
380	0.308535426
381	0.3085258964
382	0.3085078552
383	0.3084996847
384	0.3084842687
385	0.3084665659
386	0.3084514549
387	0.3084388884
388	0.3084277491
389	0.3084157397
390	0.308404984
391	0.3083957713
392	0.3083810596
393	0.3083722435
394	0.3083611877
395	0.3083524201
396	0.3083392254
397	0.3083284438
398	0.3083174951
399	0.3083093703
400	0.308297485
401	0.3082852481
402	0.3082741142
403	0.3082623387
404	0.3082540546
405	0.3082379248
406	0.3082268169
407	0.3082162786
408	0.3082019685
409	0.3081888176
410	0.3081776784
411	0.308164623
412	0.3081542573
413	0.3081428925
414	0.308128783
415	0.3081185687
416	0.308110746
417	0.3081011543
418	0.3080942892
419	0.3080844842
420	0.3080740874
421	0.3080611322
422	0.3080508947
423	0.308039168
424	0.3080282717
425	0.3080124023
426	0.3080026964
427	0.307992441
428	0.3079827837
429	0.3079729957
430	0.3079643961
431	0.3079537621
432	0.3079447795
433	0.307931363
434	0.3079222727
435	0.3079115232
436	0.307899625
437	0.3078881477
438	0.3078783065
439	0.3078691026
440	0.3078575699
441	0.3078487456
442	0.3078382621
443	0.3078309175
444	0.3078222583
445	0.3078129537
446	0.3077987502
447	0.3077900508
448	0.30778126
449	0.3077714021
450	0.3077627137
451	0.3077496521
452	0.3077383791
453	0.3077302697
454	0.307717207
455	0.3077102638
456	0.3077034735
457	0.3076971608
458	0.3076877531
459	0.307677653
460	0.3076681634
461	0.3076568742
462	0.3076486439
463	0.3076372278
464	0.3076268988
465	0.307616334
466	0.3076066467
467	0.3075983931
468	0.3075912878
469	0.3075822555
470	0.3075737559
471	0.3075635508
472	0.3075539113
473	0.3075420752
474	0.3075346105
475	0.3075289505
476	0.3075190922
477	0.3075084341
478	0.3074994417
479	0.3074916423
480	0.3074763329
481	0.3074656801
482	0.3074595404
483	0.307446589
484	0.3074380584
485	0.307430874
486	0.3074232396
487	0.3074161053
488	0.3074062035
489	0.3073959609
490	0.3073888063
491	0.3073813382
492	0.3073731478
493	0.3073624646
494	0.3073553434
495	0.3073486024
496	0.3073398463
497	0.3073325445
498	0.3073241677
499	0.3073116667
