iter	Passed	Remaining
0	200	99870
1	234	58468
2	266	44079
3	296	36826
4	329	32573
5	360	29690
6	392	27652
7	423	26035
8	452	24680
9	478	23445
10	503	22384
11	531	21624
12	565	21201
13	593	20590
14	618	20006
15	646	19565
16	673	19143
17	701	18785
18	729	18458
19	759	18233
20	793	18092
21	827	17980
22	860	17855
23	893	17722
24	926	17598
25	957	17457
26	990	17360
27	1030	17364
28	1069	17365
29	1098	17213
30	1124	17013
31	1153	16865
32	1180	16711
33	1208	16569
34	1239	16466
35	1269	16359
36	1295	16212
37	1322	16080
38	1350	15967
39	1377	15837
40	1403	15707
41	1430	15595
42	1457	15489
43	1484	15383
44	1511	15281
45	1537	15175
46	1564	15076
47	1590	14976
48	1616	14876
49	1643	14790
50	1671	14711
51	1699	14640
52	1727	14570
53	1756	14506
54	1780	14408
55	1808	14338
56	1837	14280
57	1867	14232
58	1895	14168
59	1922	14099
60	1947	14018
61	1973	13941
62	2001	13884
63	2028	13816
64	2054	13747
65	2082	13694
66	2108	13624
67	2134	13560
68	2163	13514
69	2189	13451
70	2214	13382
71	2242	13330
72	2269	13277
73	2299	13234
74	2325	13178
75	2351	13117
76	2377	13058
77	2402	12999
78	2430	12950
79	2457	12900
80	2497	12921
81	2524	12867
82	2552	12822
83	2580	12779
84	2609	12739
85	2636	12692
86	2664	12649
87	2694	12614
88	2723	12575
89	2750	12530
90	2777	12484
91	2806	12446
92	2834	12406
93	2861	12357
94	2888	12313
95	2915	12270
96	2941	12220
97	2965	12163
98	2991	12117
99	3016	12066
100	3044	12025
101	3072	11987
102	3099	11948
103	3126	11906
104	3154	11865
105	3180	11821
106	3207	11780
107	3236	11748
108	3263	11706
109	3290	11667
110	3319	11632
111	3345	11590
112	3373	11552
113	3399	11510
114	3424	11464
115	3453	11431
116	3482	11399
117	3506	11352
118	3533	11312
119	3560	11274
120	3589	11244
121	3618	11211
122	3648	11181
123	3673	11139
124	3700	11102
125	3731	11075
126	3758	11037
127	3787	11006
128	3815	10973
129	3843	10937
130	3872	10906
131	3901	10877
132	3933	10854
133	3968	10838
134	3996	10804
135	4023	10769
136	4051	10734
137	4078	10699
138	4105	10663
139	4133	10628
140	4161	10594
141	4188	10560
142	4218	10531
